stride_lines	stride_bytes	train_step	avg_ns
33	2112	29	169
33	2112	30	163
33	2112	31	182
33	2112	32	161
33	2112	33	156
33	2112	34	163
33	2112	35	140
33	2112	36	174
33	2112	37	170
33	2112	38	179
33	2112	39	186
34	2176	0	315
34	2176	1	224
34	2176	2	219
34	2176	3	223
34	2176	4	202
34	2176	5	207
34	2176	6	199
34	2176	7	214
34	2176	8	211
34	2176	9	200
34	2176	10	200
34	2176	11	176
34	2176	12	187
34	2176	13	174
34	2176	14	163
34	2176	15	192
34	2176	16	144
34	2176	17	180
34	2176	18	180
34	2176	19	178
34	2176	20	170
34	2176	21	180
34	2176	22	198
34	2176	23	180
34	2176	24	202
34	2176	25	178
34	2176	26	186
34	2176	27	152
34	2176	28	200
34	2176	29	196
34	2176	30	196
34	2176	31	180
34	2176	32	178
34	2176	33	151
34	2176	34	167
34	2176	35	181
34	2176	36	156
34	2176	37	183
34	2176	38	162
34	2176	39	176
35	2240	0	302
35	2240	1	224
35	2240	2	209
35	2240	3	216
35	2240	4	192
35	2240	5	197
35	2240	6	175
35	2240	7	200
35	2240	8	184
35	2240	9	197
35	2240	10	175
35	2240	11	206
35	2240	12	196
35	2240	13	205
35	2240	14	207
35	2240	15	184
35	2240	16	207
35	2240	17	184
35	2240	18	189
35	2240	19	178
35	2240	20	200
35	2240	21	167
35	2240	22	178
35	2240	23	190
35	2240	24	173
35	2240	25	201
35	2240	26	198
35	2240	27	190
35	2240	28	180
35	2240	29	198
35	2240	30	185
35	2240	31	176
35	2240	32	174
35	2240	33	138
35	2240	34	137
35	2240	35	164
35	2240	36	161
35	2240	37	155
35	2240	38	185
35	2240	39	182
36	2304	0	296
36	2304	1	219
36	2304	2	241
36	2304	3	224
36	2304	4	214
36	2304	5	215
36	2304	6	200
36	2304	7	194
36	2304	8	218
36	2304	9	205
36	2304	10	208
36	2304	11	152
36	2304	12	205
36	2304	13	195
36	2304	14	182
36	2304	15	182
36	2304	16	189
36	2304	17	139
36	2304	18	179
36	2304	19	191
36	2304	20	174
36	2304	21	176
36	2304	22	138
36	2304	23	189
36	2304	24	179
36	2304	25	166
36	2304	26	163
36	2304	27	189
36	2304	28	166
36	2304	29	178
36	2304	30	188
36	2304	31	220
36	2304	32	174
36	2304	33	139
36	2304	34	127
36	2304	35	128
36	2304	36	154
36	2304	37	168
36	2304	38	191
36	2304	39	162
37	2368	0	322
37	2368	1	222
37	2368	2	191
37	2368	3	205
37	2368	4	197
37	2368	5	196
37	2368	6	167
37	2368	7	187
37	2368	8	193
37	2368	9	192
37	2368	10	200
37	2368	11	197
37	2368	12	199
37	2368	13	176
37	2368	14	207
37	2368	15	200
37	2368	16	208
37	2368	17	195
37	2368	18	189
37	2368	19	170
37	2368	20	192
37	2368	21	170
37	2368	22	188
37	2368	23	180
37	2368	24	166
37	2368	25	165
37	2368	26	161
37	2368	27	186
37	2368	28	185
37	2368	29	182
37	2368	30	201
37	2368	31	168
37	2368	32	196
37	2368	33	119
37	2368	34	112
37	2368	35	115
37	2368	36	110
37	2368	37	158
37	2368	38	155
37	2368	39	160
38	2432	0	151
38	2432	1	182
38	2432	2	179
38	2432	3	191
38	2432	4	198
38	2432	5	187
38	2432	6	214
38	2432	7	202
38	2432	8	176
38	2432	9	171
38	2432	10	176
38	2432	11	166
38	2432	12	166
38	2432	13	164
38	2432	14	167
38	2432	15	167
38	2432	16	164
38	2432	17	157
38	2432	18	118
38	2432	19	171
38	2432	20	154
38	2432	21	190
38	2432	22	190
38	2432	23	199
38	2432	24	221
38	2432	25	207
38	2432	26	185
38	2432	27	182
38	2432	28	153
38	2432	29	162
38	2432	30	154
38	2432	31	148
38	2432	32	157
38	2432	33	117
38	2432	34	118
38	2432	35	142
38	2432	36	177
38	2432	37	123
38	2432	38	180
38	2432	39	168
39	2496	0	326
39	2496	1	259
39	2496	2	183
39	2496	3	218
39	2496	4	184
39	2496	5	193
39	2496	6	214
39	2496	7	206
39	2496	8	208
39	2496	9	189
39	2496	10	202
39	2496	11	136
39	2496	12	195
39	2496	13	168
39	2496	14	172
39	2496	15	180
39	2496	16	197
39	2496	17	182
39	2496	18	172
39	2496	19	187
39	2496	20	188
39	2496	21	197
39	2496	22	183
39	2496	23	203
39	2496	24	170
39	2496	25	170
39	2496	26	183
39	2496	27	173
39	2496	28	196
39	2496	29	171
39	2496	30	183
39	2496	31	199
39	2496	32	165
39	2496	33	174
39	2496	34	175
39	2496	35	190
39	2496	36	168
39	2496	37	175
39	2496	38	206
39	2496	39	196
40	2560	0	224
40	2560	1	182
40	2560	2	207
40	2560	3	197
40	2560	4	194
40	2560	5	215
40	2560	6	216
40	2560	7	190
40	2560	8	198
40	2560	9	209
40	2560	10	216
40	2560	11	195
40	2560	12	190
40	2560	13	200
40	2560	14	198
40	2560	15	208
40	2560	16	211
40	2560	17	209
40	2560	18	193
40	2560	19	161
40	2560	20	190
40	2560	21	194
40	2560	22	205
40	2560	23	206
40	2560	24	190
40	2560	25	186
40	2560	26	178
40	2560	27	152
40	2560	28	208
40	2560	29	183
40	2560	30	192
40	2560	31	187
40	2560	32	195
40	2560	33	190
40	2560	34	178
40	2560	35	200
40	2560	36	170
40	2560	37	181
40	2560	38	179
40	2560	39	185
41	2624	0	304
41	2624	1	232
41	2624	2	231
41	2624	3	212
